timestamp,split,Appliances,anomaly_raw_score,anomaly_severity,anomaly_flag,anomaly_category
2016-01-12 04:50:00,train,60,0.4076606028989283,0.20858761987794247,0,normal
2016-01-12 05:00:00,train,50,0.3971076501759547,0.07294391165358907,0,normal
2016-01-12 05:10:00,train,50,0.3922899965729653,0.03182214472537053,0,normal
2016-01-12 05:20:00,train,40,0.39517892859255543,0.056015693112467305,0,normal
2016-01-12 05:30:00,train,40,0.39729255681929215,0.07483289741354257,0,normal
2016-01-12 05:40:00,train,40,0.3998427452331975,0.10265911072362685,0,normal
2016-01-12 05:50:00,train,40,0.39881747068989043,0.09096192967160709,0,normal
2016-01-12 06:00:00,train,50,0.40513737335895655,0.1744405696018599,0,normal
2016-01-12 06:10:00,train,70,0.4067215356769814,0.1950014530659692,0,normal
2016-01-12 06:20:00,train,40,0.3984472074387837,0.08667538506248183,0,normal
2016-01-12 06:30:00,train,30,0.39960392756806795,0.10018889857599535,0,normal
2016-01-12 06:40:00,train,20,0.4018970299662033,0.13150247021214764,0,normal
2016-01-12 06:50:00,train,30,0.4048074007560557,0.17066259808195292,0,normal
2016-01-12 07:00:00,train,40,0.40044108502642906,0.11036036036036036,0,normal
2016-01-12 07:10:00,train,50,0.3947913229659329,0.052383028189479805,0,normal
2016-01-12 07:20:00,train,60,0.4019274126572193,0.13208369659982563,0,normal
2016-01-12 07:30:00,train,60,0.3993569005565008,0.09713746004068585,0,normal
2016-01-12 07:40:00,train,70,0.4091633246028414,0.22798605056669574,0,normal
2016-01-12 07:50:00,train,60,0.4157228761391169,0.3267218831734961,0,normal
2016-01-12 08:00:00,train,140,0.43011796774159566,0.5377797151990701,0,normal
2016-01-12 08:10:00,train,110,0.4195306977438907,0.3894216797442604,0,normal
2016-01-12 08:20:00,train,90,0.42822595153944676,0.5143853530950305,0,normal
2016-01-12 08:30:00,train,60,0.417756334701695,0.3608689334495786,0,normal
2016-01-12 08:40:00,train,60,0.41285735927122574,0.28342051729148504,0,normal
2016-01-12 08:50:00,train,60,0.4169929666688397,0.3475007265329846,0,normal
