date,split,Appliances,lights,T1,T2,T_out,RH_1,RH_out,Windspeed,raw_score,severity_pct,anomaly_category,anomaly_flag
2016-01-12 00:50:00,train,380,20,21.1666666666667,20.5,5.133333333333329,45.23,92.0,6.0,0.06832232701261487,97.1,mid,1
2016-01-12 01:00:00,train,380,20,21.075,20.5,5.1,45.3725,92.0,6.0,0.417315132906834,99.21,high,1
2016-01-12 01:10:00,train,370,20,21.0,20.39,5.11666666666667,45.4,92.0,5.8333333333333295,0.4943217912109862,99.46,high,1
2016-01-12 10:30:00,train,50,10,19.79,19.0,5.85,48.793333333333294,88.5,5.0,0.07163313847902186,97.13,mid,1
2016-01-12 17:40:00,train,370,40,20.033333333333296,18.89,5.76666666666667,42.963333333333296,81.6666666666667,7.0,0.1447654777083257,97.74,mid,1
2016-01-12 17:50:00,train,230,30,20.0,18.89,5.5833333333333295,43.16,83.3333333333333,7.0,0.01727048816653698,96.59,mid,1
2016-01-12 18:00:00,train,80,40,20.0,18.8566666666667,5.4,43.9,85.0,7.0,0.4185007515809901,99.22,high,1
2016-01-12 18:40:00,train,40,0,20.1,19.2,5.0,44.26,89.0,6.3333333333333295,0.4278599002107625,99.25,high,1
2016-01-12 19:00:00,train,50,0,20.1,19.29,4.8,44.1266666666667,91.0,6.0,0.2013343069271658,98.12,mid,1
2016-01-13 21:40:00,train,330,0,19.6,19.1,2.8,41.69333333333329,88.3333333333333,5.0,0.13904379874755246,97.69,mid,1
2016-01-13 22:00:00,train,270,0,19.6,19.1,2.7,42.0,88.0,5.0,0.10633962223283666,97.42,mid,1
2016-01-13 22:30:00,train,60,0,19.6,19.0,2.95,42.0666666666667,87.0,5.5,0.2499748890564557,98.36,mid,1
2016-01-14 10:40:00,train,620,10,18.79,18.566666666666695,2.16666666666667,43.69333333333329,93.6666666666667,4.66666666666667,0.08490257306652371,97.22,mid,1
2016-01-14 11:10:00,train,260,20,19.0,18.823333333333295,2.4,42.933333333333294,92.8333333333333,4.16666666666667,-1.2287666051102875e-05,95.35,mid,1
2016-01-14 11:20:00,train,240,10,19.1,18.89,2.5,42.863333333333294,92.6666666666667,4.3333333333333295,0.10209364094754558,97.38,mid,1
2016-01-14 11:30:00,train,220,10,19.1666666666667,19.033333333333296,2.6,43.53,92.5,4.5,0.00045940647953246483,96.42,mid,1
2016-01-14 11:50:00,train,90,10,19.566666666666695,19.323333333333295,2.8,44.5,92.1666666666667,4.8333333333333295,0.00010892544107332647,95.82,mid,1
2016-01-14 16:50:00,train,740,0,21.39,20.79,4.73333333333333,40.5666666666667,76.5,6.8333333333333295,0.11825903302126317,97.51,mid,1
2016-01-14 17:00:00,train,910,0,21.463333333333296,20.8566666666667,4.6,41.69333333333329,76.0,7.0,-6.474517845855843e-06,95.41,mid,1
2016-01-14 17:10:00,train,610,10,21.6333333333333,20.9266666666667,4.5833333333333295,45.1966666666667,76.0,6.8333333333333295,0.6057794509627168,99.64,high,1
2016-01-14 17:20:00,train,510,10,21.76,21.1333333333333,4.56666666666667,47.13,76.0,6.66666666666667,-1.1707867928922866e-05,95.36,mid,1
2016-01-14 17:30:00,train,190,0,21.945,21.29,4.55,45.3,76.0,6.5,0.7092454385203029,99.75,high,1
2016-01-14 17:40:00,train,110,10,22.0,21.3566666666667,4.53333333333333,43.9966666666667,76.0,6.3333333333333295,0.09155866204913077,97.28,mid,1
2016-01-14 17:50:00,train,100,0,22.066666666666695,21.5,4.51666666666667,43.1966666666667,76.0,6.16666666666667,0.09741509449955144,97.31,mid,1
2016-01-14 18:00:00,train,90,10,22.1,21.566666666666695,4.5,42.363333333333294,76.0,6.0,0.09355428509576014,97.3,mid,1
2016-01-14 19:00:00,train,380,10,22.2,21.7,4.0,40.69333333333329,77.0,7.0,-7.318166270597892e-05,95.0,mid,1
2016-01-14 19:30:00,train,100,10,22.463333333333296,21.73,3.7,47.76333333333329,81.5,7.5,0.06158502803299459,97.02,mid,1
2016-01-15 08:00:00,train,50,10,21.6333333333333,20.296666666666695,3.2,36.66666666666671,78.0,8.0,0.9796376001350456,99.97,high,1
2016-01-15 08:10:00,train,50,10,21.36,19.63,3.2,34.4,78.3333333333333,8.33333333333333,0.008605654238286853,96.53,mid,1
2016-01-15 08:20:00,train,150,10,21.066666666666695,19.15,3.2,33.4333333333333,78.6666666666667,8.66666666666667,0.9927367519161364,99.99,high,1
2016-01-15 08:30:00,train,390,20,21.0,19.323333333333295,3.2,33.56,79.0,9.0,0.9840341754942209,99.98,high,1
2016-01-15 08:40:00,train,390,10,20.89,19.53,3.2,33.86,79.3333333333333,9.33333333333333,0.8015077076263327,99.85,high,1
2016-01-15 08:50:00,train,380,10,20.89,19.66,3.2,34.1933333333333,79.6666666666667,9.66666666666667,0.00034643256757815877,96.27,mid,1
2016-01-15 19:00:00,train,330,20,22.5,22.0,2.5,45.6633333333333,93.0,7.0,0.2480625695276769,98.34,mid,1
2016-01-15 19:40:00,train,310,30,22.6,22.0,2.5,43.893333333333295,95.6666666666667,5.66666666666667,0.2674463445000095,98.47,mid,1
2016-01-16 12:50:00,train,90,0,22.075,21.3,5.7,40.045,69.5,4.66666666666667,2.4968397061453373e-05,95.59,mid,1
2016-01-16 18:50:00,train,1080,30,21.93,21.04,2.0833333333333295,42.7666666666667,85.5,3.6666666666666705,0.567021040135578,99.61,high,1
2016-01-16 19:00:00,train,750,20,22.163333333333295,21.2864285714286,2.0,42.4,87.0,3.0,0.48380654791498223,99.41,high,1
2016-01-16 19:10:00,train,390,10,22.496666666666705,21.5594444444444,1.8,43.19333333333329,87.8333333333333,2.66666666666667,0.5438943039250596,99.59,high,1
2016-01-16 19:20:00,train,350,10,22.893333333333295,21.7927777777778,1.6,42.19333333333329,88.6666666666667,2.3333333333333295,0.8495583338666662,99.91,high,1
2016-01-16 19:30:00,train,340,10,23.175,21.9572222222222,1.4,41.67,89.5,2.0,0.39006919033630283,99.06,high,1
2016-01-16 19:40:00,train,290,20,23.2,22.011111111111095,1.2,41.2266666666667,90.3333333333333,1.66666666666667,-3.479094567193641e-05,95.19,mid,1
2016-01-16 20:00:00,train,120,30,23.29,22.1,0.8,40.39,92.0,1.0,0.0002341666774359208,96.1,mid,1
2016-01-16 20:10:00,train,110,40,23.29,22.1,0.733333333333333,39.93,92.6666666666667,1.66666666666667,0.0020492743841988847,96.46,mid,1
2016-01-16 20:20:00,train,100,40,23.29,22.1,0.666666666666667,39.73,93.3333333333333,2.3333333333333295,0.07793730573288615,97.19,mid,1
2016-01-16 20:30:00,train,110,40,23.29,22.15,0.6,39.6633333333333,94.0,3.0,0.0853217974476701,97.23,mid,1
2016-01-17 08:50:00,train,270,0,20.823333333333295,20.1,-0.8,42.1266666666667,93.5,2.0,0.18011432137447747,97.96,mid,1
2016-01-17 11:50:00,train,460,0,22.033333333333296,20.963333333333296,2.2166666666666694,37.9266666666667,77.8333333333333,1.8333333333333297,0.1533715264490516,97.79,mid,1
2016-01-17 12:00:00,train,120,0,22.1,21.1333333333333,2.4,38.25,76.0,2.0,0.008915794530683252,96.53,mid,1
2016-01-17 14:10:00,train,140,0,21.9266666666667,20.416,3.0166666666666706,34.9,62.33333333333329,2.0,0.3231819988508229,98.75,mid,1
2016-01-17 14:20:00,train,60,0,21.8566666666667,20.0966666666667,3.03333333333333,33.13,61.66666666666671,2.0,0.000427666934230686,96.4,mid,1
2016-01-17 14:30:00,train,60,0,21.73,19.7633333333333,3.05,32.4633333333333,61.0,2.0,0.20063560926483903,98.11,mid,1
2016-01-17 14:40:00,train,70,10,21.6333333333333,19.73,3.06666666666667,32.0233333333333,60.33333333333329,2.0,0.5202775399493175,99.56,high,1
2016-01-17 14:50:00,train,80,0,21.7,19.8566666666667,3.0833333333333295,32.6966666666667,59.66666666666671,2.0,0.00032458112657085536,96.26,mid,1
2016-01-17 17:30:00,train,800,10,21.5,20.1,0.0,36.76,78.0,2.0,0.0004057195980071704,96.35,mid,1
2016-01-17 17:40:00,train,790,10,21.566666666666695,20.1,-0.266666666666667,38.6266666666667,79.6666666666667,2.0,0.0753060508518405,97.17,mid,1
2016-01-17 17:50:00,train,540,20,21.6333333333333,20.1,-0.533333333333333,42.0666666666667,81.3333333333333,2.0,0.7368552067485536,99.77,high,1
2016-01-17 18:00:00,train,120,20,21.7,20.066666666666695,-0.8,45.0666666666667,83.0,2.0,2.8690910509610035e-06,95.47,mid,1
2016-01-17 18:10:00,train,110,20,21.79,20.075,-0.8333333333333329,45.5266666666667,82.3333333333333,2.0,0.0002655724765869838,96.19,mid,1
2016-01-17 18:30:00,train,140,20,21.9266666666667,20.1,-0.9,41.86,81.0,2.0,-3.143467216082385e-06,95.44,mid,1
2016-01-17 18:40:00,train,550,20,22.025,20.1666666666667,-0.933333333333333,41.075,80.3333333333333,2.0,0.304568392810845,98.63,mid,1
2016-01-17 19:00:00,train,100,0,22.23,20.31,-1.0,46.26,79.0,2.0,0.40721116860218676,99.17,high,1
2016-01-18 18:00:00,train,30,10,19.1,17.89,-2.0,41.1266666666667,87.0,3.0,0.032877933699084094,96.77,mid,1
2016-01-18 18:40:00,train,510,0,19.1,17.79,-2.3333333333333295,41.0,84.3333333333333,3.0,0.0002949127965148346,96.23,mid,1
2016-01-18 19:30:00,train,100,0,19.6966666666667,18.2925,-2.5,42.723333333333294,80.5,3.0,0.0003951534870347828,96.32,mid,1
2016-01-18 20:00:00,train,480,0,20.1,18.76,-2.5,41.8266666666667,78.0,3.0,0.11294520270043074,97.48,mid,1
2016-01-18 20:20:00,train,630,10,20.2,19.066666666666695,-2.66666666666667,41.69333333333329,79.6666666666667,2.66666666666667,0.3585693407889592,98.97,mid,1
2016-01-18 20:30:00,train,600,10,20.29,19.2,-2.75,41.363333333333294,80.5,2.5,6.986638812223056e-05,95.72,mid,1
2016-01-18 20:40:00,train,470,20,20.365,19.26,-2.8333333333333295,40.8925,81.3333333333333,2.3333333333333295,0.24051697873812894,98.3,mid,1
2016-01-18 20:50:00,train,740,10,20.463333333333296,19.39,-2.91666666666667,40.7666666666667,82.1666666666667,2.16666666666667,0.0001385699400997531,95.92,mid,1
