date,split,Appliances,lights,T1,T2,T_out,RH_1,RH_out,Windspeed,svm_score,svm_severity,svm_category,svm_flag,if_category,if_flag,if_score,if_severity,concordance
2016-01-11 22:50:00,train,60,20,21.6,21.0,5.85,44.2,87.1666666666667,6.8333333333333295,-0.5004908836306203,73.28,normal,0,normal,0,0.4694198434766452,80.96,normal
2016-01-11 23:00:00,train,60,20,21.6,21.0,5.9,44.2,87.0,7.0,-0.34939228322612004,83.5,normal,0,normal,0,0.4663308840496854,79.09,normal
2016-01-11 23:10:00,train,60,20,21.6,21.0,5.8,44.2,87.8333333333333,6.8333333333333295,-0.63918954075765,61.38,normal,0,normal,0,0.4568486196804608,72.46,normal
2016-01-11 23:20:00,train,50,10,21.6,21.0,5.7,44.2,88.6666666666667,6.66666666666667,-0.559936565566546,68.65,normal,0,normal,0,0.4553152702571697,71.15,normal
2016-01-11 23:30:00,train,70,20,21.5,20.9266666666667,5.6,44.23,89.5,6.5,-0.33107019232240464,84.54,normal,0,normal,0,0.4435055956005531,60.87,normal
2016-01-11 23:40:00,train,60,20,21.5,20.89,5.5,44.363333333333294,90.3333333333333,6.3333333333333295,-0.6924306360645831,54.26,normal,0,normal,0,0.4375319188892976,54.78,normal
2016-01-11 23:50:00,train,40,20,21.39,20.79,5.4,44.433333333333294,91.1666666666667,6.16666666666667,-0.3777524612653502,81.68,normal,0,normal,0,0.4544988623003982,70.41,normal
2016-01-12 00:00:00,train,40,10,21.39,20.79,5.3,44.56,92.0,6.0,-0.7077936285317086,51.93,normal,0,normal,0,0.4363337558810492,53.52,normal
2016-01-12 00:10:00,train,30,20,21.29,20.7,5.26666666666667,44.8266666666667,92.0,6.0,-0.08274614745885733,92.72,low,0,normal,0,0.4497500126989212,66.42,normal
2016-01-12 00:20:00,train,40,20,21.29,20.6333333333333,5.23333333333333,44.9666666666667,92.0,6.0,-0.4521019424768611,76.75,normal,0,normal,0,0.4344461682994976,51.41,normal
2016-01-12 00:30:00,train,50,20,21.26,20.6,5.2,45.09,92.0,6.0,-0.5541400278211657,69.13,normal,0,normal,0,0.4329556553019592,49.85,normal
