date,consommation_reelle,baseline_predite_Wh,apres_mesure_predit_Wh,economie_Wh
2016-04-16 22:30:00,50.0,64.73864876262849,64.07227451892814,0.6663742437003464
2016-04-16 22:40:00,50.0,62.379698452154784,61.71332420845444,0.6663742437003464
2016-04-16 22:50:00,50.0,62.59171479593952,61.92534055223917,0.6663742437003464
2016-04-16 23:00:00,50.0,58.3350742776073,57.66870003390695,0.6663742437003464
2016-04-16 23:10:00,50.0,56.699119726811645,56.0327454831113,0.6663742437003464
2016-04-16 23:20:00,60.0,57.58031609145314,56.91394184775279,0.6663742437003535
2016-04-16 23:30:00,60.0,66.00669366791855,65.34031942421821,0.6663742437003464
2016-04-16 23:40:00,50.0,64.49630124081307,63.829926997112715,0.6663742437003535
2016-04-16 23:50:00,60.0,55.37652968480543,54.71015544110509,0.6663742437003464
2016-04-17 00:00:00,60.0,70.10725352386387,69.44087928016353,0.6663742437003464
2016-04-17 00:10:00,50.0,68.21876574481132,67.55239150111098,0.6663742437003464
2016-04-17 00:20:00,50.0,60.143736291828574,59.47736204812823,0.6663742437003464
2016-04-17 00:30:00,50.0,61.52239351396591,60.856019270265556,0.6663742437003535
2016-04-17 00:40:00,50.0,60.74992571561262,60.083551471912266,0.6663742437003535
2016-04-17 00:50:00,50.0,61.23175290067893,60.565378656978574,0.6663742437003535
2016-04-17 01:00:00,50.0,57.448388252066565,56.78201400836621,0.6663742437003535
2016-04-17 01:10:00,50.0,57.172826386315485,56.50645214261513,0.6663742437003535
2016-04-17 01:20:00,60.0,57.515878671431906,56.84950442773156,0.6663742437003464
2016-04-17 01:30:00,50.0,66.07805791226458,65.41168366856424,0.6663742437003464
2016-04-17 01:40:00,60.0,56.36234142402304,55.6959671803227,0.6663742437003464
2016-04-17 01:50:00,60.0,65.64080519631727,64.97443095261691,0.6663742437003606
2016-04-17 02:00:00,50.0,64.37134527283126,63.7049710291309,0.6663742437003606
2016-04-17 02:10:00,50.0,56.23586734158205,55.569493097881704,0.6663742437003464
2016-04-17 02:20:00,40.0,57.85801544352717,57.19164119982683,0.6663742437003393
2016-04-17 02:30:00,60.0,49.97282544016829,49.30645119646795,0.6663742437003464
2016-04-17 02:40:00,40.0,65.63177485295387,64.96540060925352,0.6663742437003464
2016-04-17 02:50:00,50.0,46.75564393180403,46.089269688103684,0.6663742437003464
2016-04-17 03:00:00,60.0,57.264456106001646,56.5980818623013,0.6663742437003464
2016-04-17 03:10:00,60.0,62.52176572500622,61.85539148130588,0.6663742437003393
2016-04-17 03:20:00,60.0,61.523065658266304,60.856691414565944,0.6663742437003606
2016-04-17 03:30:00,60.0,62.32466503875297,61.65829079505262,0.6663742437003464
2016-04-17 03:40:00,60.0,62.11168652135476,61.445312277654416,0.6663742437003464
2016-04-17 03:50:00,50.0,62.6321377999617,61.965763556261344,0.6663742437003535
2016-04-17 04:00:00,50.0,54.307933140902975,53.64155889720263,0.6663742437003464
2016-04-17 04:10:00,40.0,55.849067119502024,55.18269287580167,0.6663742437003535
2016-04-17 04:20:00,50.0,46.790985129146215,46.12461088544586,0.6663742437003535
2016-04-17 04:30:00,40.0,54.9484564817643,54.28208223806395,0.6663742437003535
2016-04-17 04:40:00,50.0,45.038947202115125,44.37257295841478,0.6663742437003464
2016-04-17 04:50:00,60.0,53.81500987414608,53.14863563044573,0.6663742437003464
2016-04-17 05:00:00,50.0,59.80604171017203,59.139667466471685,0.6663742437003464
2016-04-17 05:10:00,60.0,51.599116063911296,50.93274182021095,0.6663742437003464
2016-04-17 05:20:00,50.0,61.81409764920736,61.147723405507,0.6663742437003606
2016-04-17 05:30:00,50.0,52.19583604538436,51.52946180168401,0.6663742437003535
2016-04-17 05:40:00,50.0,52.543271389284236,51.87689714558388,0.6663742437003535
2016-04-17 05:50:00,50.0,52.27294136976,51.60656712605964,0.6663742437003606
2016-04-17 06:00:00,40.0,60.904966548073986,60.57177942622381,0.3331871218501732
2016-04-17 06:10:00,50.0,51.62027361052743,51.287086488677254,0.3331871218501732
2016-04-17 06:20:00,40.0,60.149803516909486,59.81661639505932,0.3331871218501661
2016-04-17 06:30:00,60.0,49.76950457518611,49.43631745333594,0.3331871218501732
2016-04-17 06:40:00,60.0,68.12324581273536,67.79005869088519,0.3331871218501732
2016-04-17 06:50:00,50.0,64.66566065696958,64.33247353511942,0.333187121850159
2016-04-17 07:00:00,70.0,60.50944150704447,60.17625438519429,0.3331871218501803
2016-04-17 07:10:00,50.0,78.92443213070108,78.5912450088509,0.3331871218501732
2016-04-17 07:20:00,50.0,60.8295199481741,60.496332826323936,0.3331871218501661
2016-04-17 07:30:00,80.0,65.96194513859501,65.62875801674485,0.333187121850159
2016-04-17 07:40:00,70.0,84.70174424479102,84.36855712294083,0.3331871218501874
2016-04-17 07:50:00,60.0,72.6360097349716,72.30282261312142,0.3331871218501732
2016-04-17 08:00:00,40.0,70.75508658675633,70.42189946490616,0.3331871218501732
